image,outcome,ring_pixels,ring_b,plate_chroma,group
IMG_20250504_194704.jpg,1.5kg,7310,50.36820558811278,45.53903275917134,correct
IMG_20250504_211259.jpg,1.5kg,7680,-16.152425983364882,41.71737688802548,correct
IMG_20250504_191758.jpg,1.5kg,7476,-6.202075546015051,46.975201541063825,correct
IMG_20250504_205703.jpg,missed,4821,48.5130916507337,38.602410312662876,missed
IMG_20250504_204646.jpg,1.5kg,4888,-12.32183179481924,41.161421795886476,correct
IMG_20250504_194232.jpg,0.5kg,7029,45.4721714576148,44.54671068539423,misread
IMG_20250504_203737.jpg,0.5kg,6860,38.73706679091795,39.503348462636154,misread
IMG_20250504_205426.jpg,0.5kg,4474,42.9368520567738,37.3027229188308,misread
IMG_20250504_191529.jpg,1.5kg,7699,-3.1861375131483793,40.083996874727035,correct
IMG_20250504_194108.jpg,0.5kg,6288,55.03246714764754,36.77907643469825,misread
IMG_20250504_204644.jpg,1.5kg,4882,-11.707936023790088,43.346659009385824,correct
IMG_20250504_205446.jpg,0.5kg,4500,43.553029503527654,36.80598263067004,misread
IMG_20250504_191937.jpg,missed,8655,57.1751901057187,40.685127073251465,missed
IMG_20250504_210335.jpg,15kg,36506,43.558922915328544,36.071833526814814,other
IMG_20250504_191936.jpg,missed,8409,57.193904136987804,42.25478004279508,missed
IMG_20250504_210306.jpg,0.5kg,6346,46.343555361815056,37.24619558779881,misread
IMG_20250504_204639.jpg,1.5kg,4430,-12.435813808845285,41.57580706429195,correct
IMG_20250504_210745.jpg,1.5kg,7703,-13.892895621722424,39.15799909465169,correct
IMG_20250504_204636.jpg,1.5kg,4824,-13.367552802793387,41.55347514984504,correct
IMG_20250504_195158.jpg,1.5kg,6857,48.2908158945739,48.985857513643026,correct
IMG_20250504_203748.jpg,0.5kg,8239,43.048371124580996,36.494617387717625,misread
IMG_20250504_211025.jpg,missed,8232,-6.131284435796841,40.128879006297154,missed
IMG_20250504_204321.jpg,missed,5586,49.95818879956497,40.21903837761731,missed
IMG_20250504_210307.jpg,0.5kg,5837,46.425344285894575,39.5972311760512,misread
IMG_20250504_195157.jpg,1.5kg,7284,48.200986702454415,47.73980206271576,correct
IMG_20250504_211307.jpg,1.5kg,7921,-15.530249651263794,44.7993334936132,correct
IMG_20250504_194222.jpg,missed,8258,44.77711428117518,45.94108228453196,missed
IMG_20250504_205024.jpg,missed,4762,-11.696240402413943,37.9962157761678,missed
IMG_20250504_205119.jpg,0.5kg,4604,44.67228474607128,38.49686595705386,misread
IMG_20250504_205439.jpg,0.5kg,4433,45.14356894031491,33.99784837545321,misread
IMG_20250504_195138.jpg,1.5kg,7244,11.5843406055263,10.982021193547872,correct
IMG_20250504_211247.jpg,1kg,6556,-16.90867879464623,21.321435451736917,other
IMG_20250504_203156.jpg,0.5kg,7801,48.59813945011153,44.42360943213448,misread
IMG_20250504_205430.jpg,0.5kg,4417,42.540055193078615,36.042957240828166,misread
IMG_20250504_205424.jpg,0.5kg,4404,42.86217643110942,37.51105182204187,misread
IMG_20250504_205921.jpg,missed,4970,48.37302561319926,41.847424111145344,missed
IMG_20250504_194227.jpg,0.5kg,7279,45.33240535736043,43.69166264344831,misread
IMG_20250504_195140.jpg,1.5kg,7217,11.637280968477437,11.331055040073068,correct
IMG_20250504_195141.jpg,missed,7386,11.489788688082514,10.700335845166125,missed
IMG_20250504_205033.jpg,1.5kg,4334,-11.856146678478979,40.44545042469353,correct
IMG_20250504_203819.jpg,0.5kg,7744,49.60226281799363,38.21783483496168,misread
IMG_20250504_205027.jpg,missed,4326,-11.286301898785306,40.13003892583048,missed
IMG_20250504_205111.jpg,0.5kg,4191,44.89002038073215,37.91684071816877,misread
IMG_20250504_194705.jpg,1.5kg,6877,49.93512051414225,42.46771909819965,correct
IMG_20250504_191931.jpg,missed,8620,57.24287351440924,43.10649388773747,missed
IMG_20250504_210257.jpg,missed,6202,43.41102305462164,37.46936429942291,missed
IMG_20250504_205036.jpg,1.5kg,3995,-10.998146774189333,41.199941102709104,correct
IMG_20250504_204638.jpg,1.5kg,4881,-12.28752876256991,41.47274863389943,correct
IMG_20250504_194056.jpg,1.5kg,6636,54.58457431409309,35.51161129052731,correct
IMG_20250504_205706.jpg,missed,4404,48.6425131476788,39.27053193365922,missed
IMG_20250504_211257.jpg,1.5kg,8200,-16.361847797781536,43.323907719641795,correct
IMG_20250504_194215.jpg,0.5kg,7628,43.64216369339755,44.73643680365186,misread
IMG_20250504_205114.jpg,0.5kg,4565,45.376286527128265,39.578028321976575,misread
IMG_20250504_194225.jpg,0.5kg,6488,44.538068027829,46.24399855521835,misread
IMG_20250504_203155.jpg,0.5kg,8298,48.17928238915823,43.46328961695078,misread
IMG_20250504_204320.jpg,0.5kg,5839,49.62572686182758,39.96743613608829,misread
IMG_20250504_195200.jpg,1.5kg,6442,48.24499840751629,49.01900850253588,correct
IMG_20250504_194543.jpg,1.5kg,7203,50.416683358203095,44.63600906977558,correct
IMG_20250504_194543_1.jpg,1.5kg,7020,50.09126354359266,46.33006541659156,correct
IMG_20250504_210146.jpg,0.5kg,4432,46.3478279474931,42.574926533881495,misread
IMG_20250504_211027.jpg,missed,8232,-5.512201405653427,40.79453134304515,missed
