epoch,step,test/AP/0.5kg,test/AP/1.5kg,test/AP/10kg,test/AP/15kg,test/AP/1kg,test/AP/2.5kg,test/AP/20kg,test/AP/25kg,test/AP/2kg,test/AP/5kg,test/AP/zacisk,test/F1,test/loss,test/mAP_50,test/mAP_50_95,test/mAP_75,test/mAR,test/precision,test/recall,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_aux,train/loss_ce,train/loss_ce_aux,train/loss_giou,train/loss_giou_aux,train/lr,train/lr_max,train/lr_min,val/AP/0.5kg,val/AP/1.5kg,val/AP/10kg,val/AP/15kg,val/AP/1kg,val/AP/2.5kg,val/AP/20kg,val/AP/25kg,val/AP/2kg,val/AP/5kg,val/AP/zacisk,val/F1,val/ema_AP/0.5kg,val/ema_AP/1.5kg,val/ema_AP/10kg,val/ema_AP/15kg,val/ema_AP/1kg,val/ema_AP/2.5kg,val/ema_AP/20kg,val/ema_AP/25kg,val/ema_AP/2kg,val/ema_AP/5kg,val/ema_AP/zacisk,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAP_75,val/ema_mAR,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2458520531654358,0.7673055529594421,0.8094355463981628,0.9100003242492676,0.5675540566444397,0.7214515209197998,0.9114728569984436,0.9202935695648193,0.6041501760482788,0.7019212245941162,0.7943609356880188,0.8159111142158508,0.2458520531654358,0.7673055529594421,0.8094355463981628,0.9100003242492676,0.5675540566444397,0.7214515209197998,0.9114728569984436,0.9202935695648193,0.6041501760482788,0.7019212245941162,0.7943609356880188,0.8946495652198792,0.7230725288391113,0.8625176548957825,0.8464511632919312,0.8946495652198792,0.7230725288391113,0.8625176548957825,0.8464511632919312,0.8086631298065186,0.8494581580162048
0,78,,,,,,,,,,,,,,,,,,,,42.552215576171875,40.445411682128906,42.92325973510742,38.43117141723633,22.312978744506836,4.431152820587158,0.022249391302466393,0.09127693623304367,0.6520806550979614,2.1109116077423096,0.12262385338544846,0.4276405870914459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48738282918930054,0.766447901725769,0.8228272199630737,0.9097843170166016,0.5917993783950806,0.7137284278869629,0.9045572876930237,0.9218713045120239,0.6054064035415649,0.7160623073577881,0.8019375801086426,0.9554736614227295,0.7289136052131653,0.7655901908874512,0.8362189531326294,0.9095683693885803,0.6160447001457214,0.7060053944587708,0.8976417183876038,0.9234489798545837,0.6066625714302063,0.7302034497261047,0.8095142841339111,0.9744868874549866,0.7754374742507935,0.9225459098815918,0.8436153531074524,0.9744868874549866,0.7754374742507935,0.9225459098815918,0.8436153531074524,0.960065484046936,0.9579105377197266
1,157,,,,,,,,,,,,,,,,,,,,61.19145584106445,59.77294158935547,60.0379753112793,58.27769088745117,3.187983751296997,2.871307849884033,0.01594177633523941,0.06374113261699677,0.3542573153972626,1.3008676767349243,0.09180587530136108,0.3170775771141052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7308900356292725,0.7722448110580444,0.8378994464874268,0.9201467037200928,0.6651818752288818,0.6932642459869385,0.901434063911438,0.9189879298210144,0.619773805141449,0.7125078439712524,0.8198095560073853,0.9709728360176086,0.7328665256500244,0.7788993716239929,0.8395798802375793,0.9307249784469604,0.714319109916687,0.680523157119751,0.905226469039917,0.9145268797874451,0.6328850388526917,0.6948122382164001,0.8301048278808594,0.9944248795509338,0.7867698669433594,0.91911381483078,0.8461962938308716,0.9944248795509338,0.7867698669433594,0.91911381483078,0.8461962938308716,0.9871482253074646,0.9578702449798584
2,236,,,,,,,,,,,,,,,,,,,,63.435916900634766,61.60917663574219,63.345726013183594,59.780853271484375,0.7603243589401245,2.6609132289886475,0.015438213013112545,0.06168122962117195,0.31397709250450134,1.174985647201538,0.08843378722667694,0.3047429323196411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
